;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
116;2020-11-01;W;1;1;Away;0;55.0;27.2;3-5-2;3.0;16.9;85.0;16.0;11.0;41.08000000000001;4;11;4-4-2;Lazio;automne;11.0;1;4;0;162;1;0;2020-11;3
117;2020-11-08;D;0;1;Home;1;54.0;27.2;3-5-2;4.0;18.2;84.3;7.0;12.0;-378.02;4;11;4-4-2;Lazio;automne;14.0;0;2;0;162;0;0;2020-11;3
118;2020-11-29;L;0;0;Home;1;56.0;27.2;3-5-2;5.0;23.4;81.7;11.0;16.0;122.18;5;11;3-5-2;Lazio;automne;10.0;1;3;0;322;1;0;2020-11;3
119;2020-12-05;W;1;1;Away;0;35.0;27.2;3-6-1;2.0;16.5;75.0;10.0;12.0;185.98;3;12;4-3-3;Lazio;reste;4.0;0;1;0;207;0;0;2020-12;3
120;2020-12-20;W;1;1;Home;1;40.0;27.2;3-5-2;2.0;13.3;81.0;14.0;12.0;-212.75;5;12;4-5-1;Lazio;reste;10.0;0;4;0;327;0;0;2020-12;3
121;2020-12-23;L;0;0;Away;0;61.0;27.2;3-5-2;6.0;19.2;82.5;10.0;14.0;-282.47;3;12;4-5-1;Lazio;reste;12.0;0;4;0;327;0;0;2020-12;3
122;2021-01-03;D;0;1;Away;0;60.0;27.2;3-5-2;2.0;20.4;80.6;13.0;18.0;143.20000000000005;11;1;3-5-2;Lazio;reste;11.0;1;4;0;322;1;0;2021-01;3
123;2021-01-06;W;1;1;Home;1;45.0;27.2;3-5-2;3.0;16.9;83.1;13.0;11.0;-61.31999999999999;3;1;3-5-2;Lazio;reste;13.0;0;3;0;322;0;0;2021-01;3
124;2021-01-15;W;1;1;Home;1;40.0;27.2;3-5-2;8.0;19.0;79.6;14.0;12.0;-116.76999999999998;5;1;3-4-3;Lazio;reste;8.0;0;5;0;155;0;0;2021-01;3
125;2021-01-24;W;1;1;Home;1;49.0;27.2;3-5-2;6.0;17.7;84.8;9.0;16.0;13.480000000000016;3;1;4-5-1;Lazio;reste;20.0;0;2;0;327;0;0;2021-01;3
126;2021-01-31;W;1;1;Away;0;43.0;27.2;3-5-2;7.0;19.3;71.1;9.0;20.0;-134.26999999999998;4;1;3-4-3;Lazio;reste;14.0;0;2;0;155;0;0;2021-01;3
127;2021-02-07;W;1;1;Home;1;63.0;27.2;3-5-2;6.0;16.6;81.1;13.0;16.0;129.95000000000002;7;2;3-4-3;Lazio;reste;14.0;0;2;0;155;0;0;2021-02;3
128;2021-02-20;W;1;1;Home;1;56.0;27.2;3-5-2;6.0;16.8;82.4;16.0;14.0;135.93;6;2;3-5-2;Lazio;reste;12.0;0;4;0;322;0;0;2021-02;3
129;2021-02-27;L;0;0;Away;0;60.0;27.2;3-5-2;6.0;18.4;77.6;9.0;18.0;78.28000000000003;4;2;4-5-1;Lazio;reste;19.0;0;2;0;327;0;0;2021-02;3
130;2021-03-06;L;0;0;Away;0;48.0;27.2;3-5-2;4.0;19.8;84.8;9.0;13.0;-378.02;7;3;4-5-1;Lazio;reste;15.0;0;1;0;327;0;0;2021-03;3
131;2021-03-21;W;1;1;Away;0;49.0;27.2;3-5-2;6.0;17.6;81.8;6.0;13.0;122.18;4;3;3-5-2;Lazio;reste;16.0;0;3;0;322;0;0;2021-03;3
132;2021-04-03;W;1;1;Home;1;51.0;27.2;3-5-2;4.0;18.9;79.2;4.0;18.0;185.98;13;4;4-3-3;Lazio;reste;10.0;1;3;2;207;1;1;2021-04;3
133;2021-04-22;L;0;0;Away;0;51.0;27.2;3-5-2;3.0;15.8;86.7;11.0;18.0;-212.75;4;4;4-5-1;Lazio;reste;16.0;0;4;0;327;0;0;2021-04;3
