;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
91;2020-09-19;W;1;1;Home;1;50.0;25,7;3-5-2;5.0;15.7;82.3;15.0;17.0;111.52000000000001;10;9;4-4-2;Fiorentina;automne;15.0;0;3;0;1.0;6.0;1.0;20.0;Torino;395.86299999999994;481.0
92;2020-09-26;L;0;0;Away;0;33.0;25,7;3-5-2;4.0;14.8;77.1;10.0;11.0;-377.09999999999997;7;9;3-5-2;Fiorentina;automne;10.0;0;1;0;1.0;21.0;0.0;14.0;Internazionale;272.163;353.0
93;2020-10-02;L;0;0;Home;1;64.0;25,7;3-5-2;5.0;18.9;81.4;7.0;11.0;159.62;6;10;4-4-2;Fiorentina;automne;22.0;0;0;0;3.0;17.0;2.0;16.0;Sampdoria;490.028;602.0
94;2020-10-18;D;0;1;Away;0;48.0;25,7;3-5-2;3.0;10.1;83.0;10.0;18.0;215.12;16;10;4-3-3;Fiorentina;automne;9.0;0;2;0;2.0;12.0;0.0;15.0;Spezia;400.06;482.0
95;2020-10-25;W;1;1;Home;1;45.0;25,7;3-5-2;3.0;14.2;77.2;9.0;16.0;113.80000000000001;7;10;3-5-2;Fiorentina;automne;5.0;0;1;0;3.0;16.0;0.0;14.0;Udinese;301.08;390.0
96;2020-10-28;W;1;1;Home;1;;25,7;<NA>-<NA>-<NA>;2.0;;;0.0;0.0;;3;10;<NA>-<NA>-<NA>;Fiorentina;automne;2.0;0;1;0;;;;;Padova;;
97;2020-11-01;L;0;0;Away;0;59.0;25,7;3-5-2;1.0;19.4;82.7;13.0;16.0;-108.84999999999997;4;11;3-4-3;Fiorentina;automne;8.0;0;2;1;3.0;17.0;0.0;17.0;Roma;492.89200000000005;596.0
98;2020-11-07;D;0;1;Away;0;64.0;25,7;3-5-2;4.0;19.7;88.7;8.0;17.0;158.10000000000002;6;11;3-5-2;Fiorentina;automne;6.0;0;2;0;1.0;5.0;2.0;17.0;Parma;666.137;751.0
99;2020-11-22;L;0;0;Home;1;62.0;25,7;4-5-1;2.0;10.0;81.9;7.0;14.0;236.67000000000002;15;11;4-5-1;Fiorentina;automne;7.0;0;2;0;3.0;13.0;1.0;17.0;Benevento;484.029;591.0
100;2020-11-25;W;1;1;Away;0;;25,7;<NA>-<NA>-<NA>;1.0;;;0.0;0.0;113.80000000000001;3;11;<NA>-<NA>-<NA>;Fiorentina;automne;1.0;0;3;0;3.0;0.0;;0.0;Udinese;;
101;2020-11-29;L;0;0;Away;0;56.0;25,7;4-3-3;3.0;13.6;78.9;9.0;15.0;-260.97999999999996;4;11;4-5-1;Fiorentina;automne;5.0;0;4;0;2.0;15.0;2.0;15.0;Milan;433.95;550.0
102;2020-12-07;D;0;1;Home;1;61.0;25,7;4-3-3;6.0;14.3;80.2;9.0;7.0;174.87;8;12;4-<NA>-<NA>;Fiorentina;reste;19.0;0;2;0;2.0;5.0;0.0;20.0;Genoa;514.884;642.0
103;2020-12-13;L;0;0;Away;0;47.0;25,7;4-5-1;2.0;18.0;76.9;18.0;13.0;-143.2;6;12;3-4-3;Fiorentina;reste;4.0;0;2;0;1.0;21.0;1.0;17.0;Atalanta;372.1960000000001;484.0
104;2020-12-16;D;0;1;Home;1;34.0;25,7;3-5-2;3.0;19.6;73.9;8.0;19.0;45.06;3;12;4-5-1;Fiorentina;reste;15.0;1;4;0;4.0;13.0;1.0;12.0;Sassuolo;260.12800000000004;352.0
105;2020-12-19;D;0;1;Home;1;59.0;25,7;3-6-1;0.0;19.3;67.7;14.0;11.0;129.59;3;12;3-4-3;Fiorentina;reste;9.0;1;2;0;2.0;5.0;1.0;16.0;Hellas-Verona;333.76099999999997;493.0
106;2020-12-22;W;1;1;Away;0;46.0;25,7;3-5-2;5.0;16.0;81.5;6.0;17.0;-346.49999999999994;3;12;3-5-2;Fiorentina;reste;9.0;0;4;0;2.0;13.0;2.0;9.0;Juventus;361.045;443.0
107;2021-01-03;D;0;1;Home;1;47.0;25,7;3-5-2;0.0;18.2;81.8;6.0;8.0;133.20000000000002;12;1;4-5-1;Fiorentina;reste;9.0;0;4;0;3.0;7.0;0.0;11.0;Bologna;390.186;477.0
108;2021-01-06;L;0;0;Away;0;55.0;25,7;3-5-2;4.0;14.4;82.7;12.0;11.0;-39.52999999999997;3;1;3-5-2;Fiorentina;reste;11.0;1;1;0;3.0;13.0;1.0;11.0;Lazio;444.926;538.0
